STNAME,CTYNAME,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,GQESTIMATES2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,Personal income (Thousands of dollars) ,# Firearm Fatalities,County Value,AIAN,Asian,Black,Hispanic,White
Alabama,Autauga County,55869,336,624,541,83,-16,270,254,-1,455,11.20267141,9.712572485,1.490098921,-0.287247985,4.847309743,4.560061758,2474364,46,17,,,,,
Alabama,Baldwin County,223234,5379,2304,2326,-22,80,5297,5377,24,2170,10.44687127,10.54662438,-0.099753111,0.362738586,24.0178286,24.38056719,10791564,153,14,,,,,
Alabama,Barbour County,24686,-186,256,312,-56,13,-141,-128,-2,2812,10.33132895,12.59130716,-2.259978207,0.524637798,-5.690302272,-5.165664474,877107,27,21,,,19,,25
Alabama,Bibb County,22394,27,240,252,-12,10,31,41,-2,2148,10.72362101,11.25980206,-0.53618105,0.446817542,1.38513438,1.831951922,703755,23,20,,,,,
Alabama,Blount County,57826,55,651,657,-6,6,59,65,-4,489,11.26326808,11.367077,-0.103808922,0.103808922,1.020787737,1.124596659,2138313,62,21,,,,,
Alabama,Bullock County,10101,-73,109,109,0,-1,-72,-73,0,1663,10.75215783,10.75215783,0,-0.09864365,-7.102342787,-7.200986436,285410,13,25,,,,,
Alabama,Butler County,19448,-183,213,272,-59,18,-141,-123,-1,333,10.90099542,13.92051997,-3.019524553,0.921210881,-7.216151897,-6.294941017,742470,21,21,,,,,
Alabama,Calhoun County,113605,-726,1269,1532,-263,14,-475,-461,-2,2833,11.13470448,13.44236979,-2.30766531,0.122841499,-4.167836586,-4.044995086,4301394,155,27,,,29,,27
Alabama,Chambers County,33254,-346,354,441,-87,6,-265,-259,0,458,10.59024142,13.19292787,-2.602686451,0.179495617,-7.927723098,-7.748227481,1200438,42,25,,,15,,34
Alabama,Cherokee County,26196,182,222,343,-121,-3,306,303,0,290,8.504117985,13.13924536,-4.63512737,-0.114920513,11.72189236,11.60697184,955148,36,28,,,,,
Alabama,Chilton County,44428,265,551,503,48,35,184,219,-2,393,12.43918683,11.35555531,1.08363152,0.790147983,4.153920827,4.944068811,1616126,31,14,,,,,
Alabama,Choctaw County,12589,-244,133,176,-43,-2,-199,-201,0,129,10.46337818,13.84627488,-3.382896704,-0.157344033,-15.65573126,-15.81307529,491727,10,15,,,,,
Alabama,Clarke County,23622,-296,266,324,-58,-5,-232,-237,-1,280,11.19057636,13.63062684,-2.440050484,-0.21034918,-9.760201935,-9.970551115,876536,23,19,,,,,
Alabama,Clay County,13235,-59,143,187,-44,-2,-12,-14,-1,255,10.78065513,14.09777979,-3.317124656,-0.150778393,-0.904670361,-1.055448754,453463,13,19,,,,,
Alabama,Cleburne County,14910,-100,187,189,-2,-11,-86,-97,-1,178,12.5,12.63368984,-0.13368984,-0.735294118,-5.748663102,-6.483957219,536859,16,21,,,,,
Alabama,Coffee County,52342,392,599,570,29,34,334,368,-5,498,11.48697887,10.930848,0.556130863,0.652015495,6.405093392,7.057108887,2280247,40,15,,,,,
Alabama,Colbert County,55241,237,630,719,-89,73,256,329,-3,474,11.42908976,13.04367545,-1.614585695,1.324323099,4.644201551,5.96852465,2146675,60,22,,,,,
Alabama,Conecuh County,12067,-225,123,182,-59,1,-167,-166,0,45,10.09893674,14.94314217,-4.844205427,0.082105177,-13.71156451,-13.62945934,405004,12,19,,,,,
Alabama,Coosa County,10663,20,89,122,-33,13,42,55,-2,196,8.354454144,11.4521731,-3.097718952,1.220313527,3.942551394,5.162864921,347519,14,26,,,,,
Alabama,Covington County,37049,96,413,543,-130,-5,235,230,-4,575,11.16186049,14.67527905,-3.513418556,-0.135131483,6.351179698,6.216048215,1332258,39,21,,,,,
Alabama,Crenshaw County,13772,-53,137,179,-42,3,-14,-11,0,132,9.928615429,12.97242454,-3.04380911,0.217414936,-1.014603037,-0.7971881,508007,10,14,,,,,
Alabama,Cullman County,83768,350,990,1050,-60,34,380,414,-4,1027,11.84309691,12.56086036,-0.717763449,0.406732621,4.545835178,4.952567799,3447019,62,15,,,,,
Alabama,Dale County,49172,29,648,546,102,18,-89,-71,-2,941,13.1821187,11.10715557,2.074963129,0.366169964,-1.810507044,-1.44433708,1864857,54,22,,,,,
Alabama,Dallas County,37196,-1098,438,542,-104,5,-1002,-997,3,853,11.60418599,14.35951782,-2.755331832,0.132467877,-26.54656246,-26.41409458,1376975,76,39,,,45,,26
Alabama,DeKalb County,71513,106,795,819,-24,44,90,134,-4,782,11.12510495,11.46095718,-0.335852225,0.615729079,1.259445844,1.875174923,2390228,67,19,,,,,
Alabama,Elmore County,81209,198,932,821,111,25,67,92,-5,4147,11.49056836,10.12205647,1.368511897,0.3082234,0.826038713,1.134262113,3635096,95,23,,,22,,24
Alabama,Escambia County,36633,109,420,474,-54,-1,166,165,-2,2472,11.48215482,12.95843187,-1.476277048,-0.027338464,4.538184999,4.510846536,1255712,46,25,,,17,,29
Alabama,Etowah County,102268,-343,1175,1487,-312,37,-62,-25,-6,2085,11.47018484,14.51588499,-3.045700145,0.361188799,-0.605235285,-0.244046486,3862708,95,19,,,13,,20
Alabama,Fayette County,16302,-143,174,225,-51,5,-97,-92,0,291,10.62692766,13.7417168,-3.114789141,0.305371484,-5.924206798,-5.618835313,583702,18,22,,,,,
Alabama,Franklin County,31362,64,432,367,65,29,-28,1,-2,272,13.78870093,11.71401213,2.074688797,0.925630386,-0.893712097,0.031918289,1100218,25,16,,,,,
Alabama,Geneva County,26271,-35,278,365,-87,-7,62,55,-3,229,10.57496624,13.88439812,-3.309431881,-0.266276128,2.358445708,2.09216958,959104,21,16,,,,,
Alabama,Greene County,8111,-98,96,93,3,0,-101,-101,0,45,11.76470588,11.39705882,0.367647059,0,-12.37745098,-12.37745098,263654,,,,,,,
Alabama,Hale County,14651,-98,190,181,9,-3,-103,-106,-1,221,12.92517007,12.31292517,0.612244898,-0.204081633,-7.006802721,-7.210884354,554860,19,26,,,,,
Alabama,Henry County,17205,32,167,213,-46,-1,79,78,0,199,9.715515737,12.39164582,-2.676130083,-0.058176741,4.595962534,4.537785793,749014,17,20,,,,,
Alabama,Houston County,105882,1112,1304,1137,167,11,936,947,-2,1415,12.38060878,10.79505535,1.585553425,0.104437651,8.886694643,8.991132294,4706434,91,17,,,18,,18
Alabama,Jackson County,51626,5,562,675,-113,-7,128,121,-3,597,10.88651486,13.07544045,-2.188925586,-0.13559716,2.47949093,2.343893769,1963648,61,23,,,,,
Alabama,Jefferson County,658573,-856,8422,7343,1079,460,-2375,-1915,-20,16663,12.77995026,11.14262346,1.637326802,0.698026255,-3.603939903,-2.905913648,37272714,986,30,,,46,12,19
