State,County,# Firearm Fatalities,County Value,AIAN,Asian,Black,Hispanic,White
Alabama,Autauga,46,17,,,,,
Alabama,Baldwin,153,14,,,,,
Alabama,Barbour,27,21,,,19,,25
Alabama,Bibb,23,20,,,,,
Alabama,Blount,62,21,,,,,
Alabama,Bullock,13,25,,,,,
Alabama,Butler,21,21,,,,,
Alabama,Calhoun,155,27,,,29,,27
Alabama,Chambers,42,25,,,15,,34
Alabama,Cherokee,36,28,,,,,
Alabama,Chilton,31,14,,,,,
Alabama,Choctaw,10,15,,,,,
Alabama,Clarke,23,19,,,,,
Alabama,Clay,13,19,,,,,
Alabama,Cleburne,16,21,,,,,
Alabama,Coffee,40,15,,,,,
Alabama,Colbert,60,22,,,,,
Alabama,Conecuh,12,19,,,,,
Alabama,Coosa,14,26,,,,,
Alabama,Covington,39,21,,,,,
Alabama,Crenshaw,10,14,,,,,
Alabama,Cullman,62,15,,,,,
Alabama,Dale,54,22,,,,,
Alabama,Dallas,76,39,,,45,,26
Alabama,DeKalb,67,19,,,,,
Alabama,Elmore,95,23,,,22,,24
Alabama,Escambia,46,25,,,17,,29
Alabama,Etowah,95,19,,,13,,20
Alabama,Fayette,18,22,,,,,
Alabama,Franklin,25,16,,,,,
Alabama,Geneva,21,16,,,,,
Alabama,Greene,,,,,,,
Alabama,Hale,19,26,,,,,
Alabama,Henry,17,20,,,,,
Alabama,Houston,91,17,,,18,,18
Alabama,Jackson,61,23,,,,,
Alabama,Jefferson,986,30,,,46,12,19
Alabama,Lamar,10,14,,,,,
Alabama,Lauderdale,63,14,,,,,
Alabama,Lawrence,37,22,,,,,
Alabama,Lee,142,18,,,31,,14
Alabama,Limestone,83,18,,,,,
Alabama,Lowndes,27,53,,,,,
Alabama,Macon,48,51,,,,,
Alabama,Madison,340,19,,,23,,19
Alabama,Marengo,17,18,,,,,
Alabama,Marion,28,19,,,,,
Alabama,Marshall,76,16,,,,,
Alabama,Mobile,517,25,,,35,,20
Alabama,Monroe,22,21,,,23,,19
Alabama,Montgomery,304,27,,,34,,20
Alabama,Morgan,126,21,,,26,,22
Alabama,Perry,,,,,,,
Alabama,Pickens,10,10,,,,,
Alabama,Pike,29,17,,,21,,15
Alabama,Randolph,28,25,,,,,
Alabama,Russell,83,29,,,35,,27
Alabama,Shelby,144,14,,,12,,14
Alabama,St. Clair,73,17,,,,,
Alabama,Sumter,18,28,,,,,
Alabama,Talladega,113,28,,,25,,30
Alabama,Tallapoosa,43,21,,,,,
Alabama,Tuscaloosa,163,16,,,18,,15
Alabama,Walker,78,24,,,,,
Alabama,Washington,18,22,,,,,
Alabama,Wilcox,16,30,,,,,
Alabama,Winston,21,18,,,,,
Alaska,Aleutians East,,,,,,,
Alaska,Aleutians West,,,,,,,
Alaska,Anchorage,342,23,37,13,41,20,22
Alaska,Bethel,28,31,,,,,
Alaska,Bristol Bay,,,,,,,
Alaska,Denali,,,,,,,
Alaska,Dillingham,,,,,,,
Alaska,Fairbanks North Star,128,26,51,,,,24
Alaska,Haines,,,,,,,
Alaska,Hoonah-Angoon,,,,,,,
Alaska,Juneau,28,17,,,,,
Alaska,Kenai Peninsula,61,21,,,,,
Alaska,Ketchikan Gateway,13,19,,,,,
Alaska,Kodiak Island,14,21,,,,,
Alaska,Kusilvak,27,66,,,,,
Alaska,Lake and Peninsula,,,,,,,
Alaska,Matanuska-Susitna,117,22,38,,,,21
Alaska,Nome,16,32,,,,,
Alaska,North Slope,16,33,,,,,
Alaska,Northwest Arctic,22,57,,,,,
Alaska,Petersburg,,,,,,,
Alaska,Prince of Wales-Hyder,,,,,,,
Alaska,Sitka,,,,,,,
Alaska,Skagway,,,,,,,
Alaska,Southeast Fairbanks,,,,,,,
Alaska,Valdez-Cordova,,,,,,,
Alaska,Wrangell,,,,,,,
Alaska,Yakutat,,,,,,,
Alaska,Yukon-Koyukuk,,,,,,,
Arizona,Apache,58,16,12,,,,37
Arizona,Cochise,125,20,,,,9,28
Arizona,Coconino,106,15,9,,,,20
Arizona,Gila,71,26,,,,,
Arizona,Graham,27,14,,,,18,15
Arizona,Greenlee,,,,,,,
Arizona,La Paz,43,42,,,,,
